epoch, wall_time, smooth_loss, train_loss, train_std_dev, val_loss, val_std_dev
0, 1.00319e+00, 4.36781e+00, 4.40996e+00, 7.14291e-02, 4.99353e+00, 8.21574e-02
1, 2.66486e+00, 4.36412e+00, 4.37835e+00, 1.01443e-01, 4.94814e+00, 1.16824e-01
2, 4.13380e+00, 4.35791e+00, 4.32892e+00, 1.49893e-01, 4.87153e+00, 1.71656e-01
3, 5.60429e+00, 4.34768e+00, 4.25025e+00, 2.23169e-01, 4.75004e+00, 2.56357e-01
4, 7.15660e+00, 4.33042e+00, 4.11332e+00, 3.25973e-01, 4.56469e+00, 3.71115e-01
5, 8.60100e+00, 4.30226e+00, 3.89987e+00, 5.12060e-01, 4.29213e+00, 5.86220e-01
6, 1.01083e+01, 4.26135e+00, 3.64145e+00, 7.38722e-01, 3.92013e+00, 8.49189e-01
7, 1.17783e+01, 4.20264e+00, 3.27830e+00, 1.04089e+00, 3.41249e+00, 1.19678e+00
8, 1.33788e+01, 4.12213e+00, 2.82779e+00, 1.30509e+00, 2.79772e+00, 1.49392e+00
9, 1.48709e+01, 4.01285e+00, 2.22389e+00, 1.68596e+00, 2.12150e+00, 1.93627e+00
10, 1.63381e+01, 3.88972e+00, 1.86337e+00, 1.68950e+00, 1.54667e+00, 1.93238e+00
11, 1.78113e+01, 3.74816e+00, 1.40452e+00, 1.57218e+00, 1.22000e+00, 1.79425e+00
12, 1.92708e+01, 3.60178e+00, 1.17217e+00, 1.53849e+00, 1.05354e+00, 1.75641e+00
13, 2.08167e+01, 3.45874e+00, 1.08421e+00, 1.43610e+00, 9.26044e-01, 1.64337e+00
14, 2.22860e+01, 3.31804e+00, 9.79965e-01, 1.38232e+00, 8.42609e-01, 1.57814e+00
15, 2.37856e+01, 3.18256e+00, 9.30676e-01, 1.26741e+00, 8.03478e-01, 1.45177e+00
16, 2.53427e+01, 3.05140e+00, 8.71320e-01, 1.19446e+00, 7.50016e-01, 1.36608e+00
17, 2.68473e+01, 2.92631e+00, 8.47408e-01, 1.13553e+00, 7.32215e-01, 1.29243e+00
18, 2.84414e+01, 2.80680e+00, 8.20706e-01, 1.11825e+00, 7.26131e-01, 1.28151e+00
19, 2.99613e+01, 2.69307e+00, 8.03132e-01, 1.09048e+00, 7.21990e-01, 1.24898e+00
20, 3.14972e+01, 2.58639e+00, 8.15081e-01, 1.05490e+00, 7.11714e-01, 1.21500e+00
21, 3.29751e+01, 2.48517e+00, 8.04497e-01, 1.02235e+00, 7.14069e-01, 1.17325e+00
22, 3.43213e+01, 2.38856e+00, 7.85284e-01, 1.00522e+00, 7.06083e-01, 1.14894e+00
23, 3.58349e+01, 2.29789e+00, 7.94068e-01, 9.88208e-01, 7.07153e-01, 1.13625e+00
24, 3.73097e+01, 2.21185e+00, 7.85405e-01, 9.71539e-01, 7.10552e-01, 1.12785e+00
25, 3.88435e+01, 2.13017e+00, 7.76483e-01, 9.66391e-01, 6.99367e-01, 1.12307e+00
26, 4.03516e+01, 2.05339e+00, 7.81719e-01, 9.58225e-01, 7.11318e-01, 1.07565e+00
27, 4.18495e+01, 1.98160e+00, 7.93655e-01, 9.30968e-01, 6.94869e-01, 1.07170e+00
28, 4.33686e+01, 1.91271e+00, 7.72666e-01, 9.28967e-01, 7.06344e-01, 1.05846e+00
29, 4.49280e+01, 1.84747e+00, 7.69043e-01, 9.03574e-01, 6.92729e-01, 1.05159e+00
30, 4.64292e+01, 1.78515e+00, 7.55048e-01, 9.05017e-01, 6.90921e-01, 1.02966e+00
31, 4.78977e+01, 1.72647e+00, 7.57281e-01, 8.95256e-01, 6.95002e-01, 1.01758e+00
32, 4.93928e+01, 1.67195e+00, 7.72754e-01, 8.94300e-01, 6.96431e-01, 1.03547e+00
33, 5.08270e+01, 1.62057e+00, 7.73566e-01, 8.81756e-01, 6.95861e-01, 9.97108e-01
34, 5.22907e+01, 1.57150e+00, 7.63009e-01, 8.75437e-01, 7.12316e-01, 9.98433e-01
35, 5.37871e+01, 1.52488e+00, 7.57940e-01, 8.70235e-01, 6.91092e-01, 1.00474e+00
36, 5.52920e+01, 1.48084e+00, 7.56991e-01, 8.70680e-01, 6.89334e-01, 9.92593e-01
37, 5.67911e+01, 1.43929e+00, 7.56910e-01, 8.67672e-01, 6.94486e-01, 1.00465e+00
38, 5.82892e+01, 1.39979e+00, 7.51510e-01, 8.57739e-01, 6.72911e-01, 9.83325e-01
39, 5.97509e+01, 1.36253e+00, 7.51666e-01, 8.68374e-01, 6.94318e-01, 1.00332e+00
40, 6.12426e+01, 1.32691e+00, 7.43234e-01, 8.63778e-01, 6.92753e-01, 1.00120e+00
41, 6.27238e+01, 1.29431e+00, 7.61580e-01, 8.48611e-01, 6.83518e-01, 9.58914e-01
42, 6.42343e+01, 1.26256e+00, 7.44007e-01, 8.53608e-01, 6.88082e-01, 9.84869e-01
43, 6.57003e+01, 1.23360e+00, 7.62257e-01, 8.37147e-01, 6.89678e-01, 9.57150e-01
44, 6.71930e+01, 1.20568e+00, 7.51707e-01, 8.51275e-01, 6.94880e-01, 9.70375e-01
45, 6.86809e+01, 1.17918e+00, 7.48787e-01, 8.47412e-01, 6.78937e-01, 9.78734e-01
46, 7.01590e+01, 1.15399e+00, 7.45438e-01, 8.39548e-01, 6.76943e-01, 9.66537e-01
47, 7.15616e+01, 1.12981e+00, 7.37780e-01, 8.36480e-01, 6.84864e-01, 9.62863e-01
48, 7.30200e+01, 1.10719e+00, 7.41259e-01, 8.35360e-01, 6.67679e-01, 9.62659e-01
49, 7.44862e+01, 1.08548e+00, 7.34428e-01, 8.46975e-01, 6.90786e-01, 9.72690e-01
50, 7.59582e+01, 1.06591e+00, 7.51177e-01, 8.49008e-01, 6.86347e-01, 9.78631e-01
51, 7.74300e+01, 1.04698e+00, 7.42740e-01, 8.44194e-01, 6.79820e-01, 9.74356e-01
52, 7.89038e+01, 1.02889e+00, 7.38957e-01, 8.31273e-01, 6.89575e-01, 9.64946e-01
53, 8.03684e+01, 1.01241e+00, 7.49784e-01, 8.31919e-01, 6.84555e-01, 9.39292e-01
54, 8.18256e+01, 9.96199e-01, 7.37415e-01, 8.31875e-01, 6.74022e-01, 9.63491e-01
55, 8.32652e+01, 9.80344e-01, 7.27813e-01, 8.29207e-01, 6.90081e-01, 9.35798e-01
56, 8.47907e+01, 9.65226e-01, 7.24733e-01, 8.28372e-01, 6.84858e-01, 9.54424e-01
57, 8.62557e+01, 9.51942e-01, 7.42473e-01, 8.30245e-01, 6.81697e-01, 9.52345e-01
58, 8.76989e+01, 9.39029e-01, 7.35120e-01, 8.26121e-01, 6.75056e-01, 9.40334e-01
59, 8.91874e+01, 9.26056e-01, 7.21203e-01, 8.37389e-01, 6.94403e-01, 9.56422e-01
