epoch, wall_time, smooth_loss, train_loss, val_loss,
0, 1.21012e+01, 1.03353e+01, 8.77034e+00, 8.77509e+00,
1, 2.78363e+01, 9.66677e+00, 8.73464e+00, 8.74616e+00,
2, 4.35666e+01, 9.26799e+00, 8.71186e+00, 8.72865e+00,
3, 5.93081e+01, 9.03119e+00, 8.69746e+00, 8.71491e+00,
4, 7.50314e+01, 8.88694e+00, 8.68731e+00, 8.69973e+00,
5, 9.07762e+01, 8.79757e+00, 8.67331e+00, 8.69024e+00,
6, 1.06546e+02, 8.74487e+00, 8.66544e+00, 8.68772e+00,
7, 1.22308e+02, 8.70916e+00, 8.65923e+00, 8.67292e+00,
8, 1.38096e+02, 8.68800e+00, 8.65329e+00, 8.67777e+00,
9, 1.53874e+02, 8.67305e+00, 8.65111e+00, 8.67513e+00,
10, 1.69656e+02, 8.66008e+00, 8.64291e+00, 8.65712e+00,
11, 1.85447e+02, 8.65384e+00, 8.63983e+00, 8.65719e+00,
12, 2.01240e+02, 8.64666e+00, 8.63756e+00, 8.65778e+00,
13, 2.17051e+02, 8.64215e+00, 8.63283e+00, 8.65347e+00,
14, 2.32844e+02, 8.63810e+00, 8.63224e+00, 8.65599e+00,
15, 2.48646e+02, 8.63699e+00, 8.63070e+00, 8.65124e+00,
16, 2.64456e+02, 8.63281e+00, 8.62706e+00, 8.65131e+00,
17, 2.80234e+02, 8.62990e+00, 8.62407e+00, 8.65425e+00,
18, 2.96059e+02, 8.62694e+00, 8.62282e+00, 8.65165e+00,
19, 3.11864e+02, 8.62379e+00, 8.62095e+00, 8.65110e+00,
20, 3.27666e+02, 8.62180e+00, 8.62048e+00, 8.63820e+00,
21, 3.43477e+02, 8.62030e+00, 8.61564e+00, 8.63653e+00,
22, 3.59284e+02, 8.61911e+00, 8.61247e+00, 8.63213e+00,
23, 3.75093e+02, 8.61882e+00, 8.61744e+00, 8.65106e+00,
24, 3.90909e+02, 8.61664e+00, 8.61226e+00, 8.63902e+00,
25, 4.06731e+02, 8.61632e+00, 8.61313e+00, 8.63366e+00,
26, 4.22530e+02, 8.61434e+00, 8.61122e+00, 8.63814e+00,
